"top","degs","seed","train","test","ntimes","avgtime"
10,49,5000,83.96,48.57,100,0.0222
20,99,5000,94.22,59.57,100,0.03435
30,148,5000,94.25,58.86,100,0.04802
40,195,5000,94.32,58.14,100,0.06199
50,242,5000,94.32,59,100,0.07908
60,288,5000,94.18,58.86,100,0.08802
70,336,5000,94.4,56.29,100,0.10308
80,379,5000,94.72,56.29,100,0.12112
90,426,5000,94.4,55.43,100,0.13505
100,474,5000,94.11,55.71,100,0.16145
110,514,5000,94.68,55.14,100,0.17861
120,560,5000,95.36,55.43,100,0.19013
150,699,5000,96.68,54.43,100,0.24528
200,913,5000,96.57,50.43,100,0.36339
300,1351,5000,95.47,51.86,100,0.62327
400,1796,5000,92.89,51.43,100,0.96348
500,2260,5000,89.18,49.43,100,1.66636
1000,4432,5000,85.75,47.86,100,5.63477
